Neurônios,Taxa de Aprendizagem,Erro Tolerado,Faixa de Inicialização,Máximo de Ciclos,Minimo Erro Quadratico,Tempo de Convergência
50,0.001,0.01,"(0, 0.1)",1000,0.07797146514886834,57.909369230270386
50,0.001,0.01,"(0, 0.1)",2000,0.07796491739656387,146.1040861606598
50,0.001,0.01,"(0, 0.1)",3000,0.0779651342311992,228.11232376098633
50,0.001,0.01,"(-0.5, 0.5)",1000,0.08016425864173536,77.93048453330994
50,0.001,0.01,"(-0.5, 0.5)",2000,0.10200853798776724,156.62023758888245
50,0.001,0.01,"(-0.5, 0.5)",3000,0.15319317863176887,221.4624650478363
50,0.001,0.01,"(-1, 1)",1000,0.15206045618423553,79.3414568901062
50,0.001,0.01,"(-1, 1)",2000,0.1575484071332365,166.03839707374573
50,0.001,0.01,"(-1, 1)",3000,0.15464048661252833,168.7320294380188
50,0.001,0.02,"(0, 0.1)",1000,0.07797440682159451,78.87575483322144
50,0.001,0.02,"(0, 0.1)",2000,0.07796510491809962,158.32070112228394
50,0.001,0.02,"(0, 0.1)",3000,0.07796527708295585,239.8727147579193
50,0.001,0.02,"(-0.5, 0.5)",1000,0.08349628500537898,80.71518445014954
50,0.001,0.02,"(-0.5, 0.5)",2000,0.1128225091512772,164.01844573020935
50,0.001,0.02,"(-0.5, 0.5)",3000,0.14386058825872144,237.1297333240509
50,0.001,0.02,"(-1, 1)",1000,0.1442015333850676,74.79930138587952
50,0.001,0.02,"(-1, 1)",2000,0.15279224074569464,97.73694586753845
50,0.001,0.02,"(-1, 1)",3000,0.1510252295005943,98.4123182296753
50,0.001,0.05,"(0, 0.1)",1000,0.07797023546976295,82.58203744888306
50,0.001,0.05,"(0, 0.1)",2000,0.07796525284180296,163.0364408493042
50,0.001,0.05,"(0, 0.1)",3000,0.0779649117008421,250.32286429405212
50,0.001,0.05,"(-0.5, 0.5)",1000,0.07970893483836869,82.73445987701416
50,0.001,0.05,"(-0.5, 0.5)",2000,0.1293774587465211,165.21267867088318
50,0.001,0.05,"(-0.5, 0.5)",3000,0.13553931891848262,198.9314239025116
50,0.001,0.05,"(-1, 1)",1000,0.13747477194710936,44.413530111312866
50,0.001,0.05,"(-1, 1)",2000,0.13977338043275853,71.96500158309937
50,0.001,0.05,"(-1, 1)",3000,0.13816847114387443,56.30242586135864
50,0.005,0.01,"(0, 0.1)",1000,0.07800393347213196,81.15233325958252
50,0.005,0.01,"(0, 0.1)",2000,0.07800799093067709,164.62939286231995
50,0.005,0.01,"(0, 0.1)",3000,0.07800896262692802,246.58361887931824
50,0.005,0.01,"(-0.5, 0.5)",1000,0.1480801456321645,58.598997354507446
50,0.005,0.01,"(-0.5, 0.5)",2000,0.15332189923796122,82.57569241523743
50,0.005,0.01,"(-0.5, 0.5)",3000,0.15315292346872392,64.39896416664124
50,0.005,0.01,"(-1, 1)",1000,0.15735993670328244,37.56239318847656
50,0.005,0.01,"(-1, 1)",2000,0.1577419663405289,167.14952564239502
50,0.005,0.01,"(-1, 1)",3000,0.1576387372619963,92.53916049003601
50,0.005,0.02,"(0, 0.1)",1000,0.07801360264230317,82.77297520637512
50,0.005,0.02,"(0, 0.1)",2000,0.07801737212417512,164.4132947921753
50,0.005,0.02,"(0, 0.1)",3000,0.07800722049586595,249.05404210090637
50,0.005,0.02,"(-0.5, 0.5)",1000,0.15294446375520068,58.12914514541626
50,0.005,0.02,"(-0.5, 0.5)",2000,0.1452540290524382,76.49877333641052
50,0.005,0.02,"(-0.5, 0.5)",3000,0.1449017931629119,60.35713601112366
50,0.005,0.02,"(-1, 1)",1000,0.14860238361226885,20.044370889663696
50,0.005,0.02,"(-1, 1)",2000,0.1549508536370989,26.579853057861328
50,0.005,0.02,"(-1, 1)",3000,0.1517404079542893,16.5332293510437
50,0.005,0.05,"(0, 0.1)",1000,0.07800982302215652,83.38310360908508
50,0.005,0.05,"(0, 0.1)",2000,0.07800894093568468,166.33930730819702
50,0.005,0.05,"(0, 0.1)",3000,0.07801054706499942,249.64349794387817
50,0.005,0.05,"(-0.5, 0.5)",1000,0.13850570683663027,43.2579607963562
50,0.005,0.05,"(-0.5, 0.5)",2000,0.13658187343994121,48.685083866119385
50,0.005,0.05,"(-0.5, 0.5)",3000,0.13759397508480187,41.02093839645386
50,0.005,0.05,"(-1, 1)",1000,0.1388624899154202,9.057660579681396
50,0.005,0.05,"(-1, 1)",2000,0.13876445298782927,10.312324285507202
50,0.005,0.05,"(-1, 1)",3000,0.13717957074362785,18.502002954483032
50,0.01,0.01,"(0, 0.1)",1000,0.07815379000384884,82.82057785987854
50,0.01,0.01,"(0, 0.1)",2000,0.07815217657553697,165.17699027061462
50,0.01,0.01,"(0, 0.1)",3000,0.07812217795720104,250.9017653465271
50,0.01,0.01,"(-0.5, 0.5)",1000,0.14970501185565344,40.47344779968262
50,0.01,0.01,"(-0.5, 0.5)",2000,0.14987785372307993,32.785988092422485
50,0.01,0.01,"(-0.5, 0.5)",3000,0.156164535875476,50.99233651161194
50,0.01,0.01,"(-1, 1)",1000,0.15800149000935532,85.40279078483582
50,0.01,0.01,"(-1, 1)",2000,0.15849287651534735,16.187375783920288
50,0.01,0.01,"(-1, 1)",3000,0.1580565772250597,131.44466495513916
50,0.01,0.02,"(0, 0.1)",1000,0.07816121937989735,84.09182143211365
50,0.01,0.02,"(0, 0.1)",2000,0.07820618378799454,166.0423583984375
50,0.01,0.02,"(0, 0.1)",3000,0.07820211455766073,249.04536604881287
50,0.01,0.02,"(-0.5, 0.5)",1000,0.14584637498024874,32.6674382686615
50,0.01,0.02,"(-0.5, 0.5)",2000,0.1545240949638348,37.412495136260986
50,0.01,0.02,"(-0.5, 0.5)",3000,0.14441190820091143,31.210623502731323
50,0.01,0.02,"(-1, 1)",1000,0.15304521483637312,19.421871662139893
50,0.01,0.02,"(-1, 1)",2000,0.1487544012629497,7.660025596618652
50,0.01,0.02,"(-1, 1)",3000,0.14293427531227232,11.892503023147583
50,0.01,0.05,"(0, 0.1)",1000,0.07817519980693975,82.75982880592346
50,0.01,0.05,"(0, 0.1)",2000,0.07816324245928563,168.01187372207642
50,0.01,0.05,"(0, 0.1)",3000,0.07818900381311221,250.71591353416443
50,0.01,0.05,"(-0.5, 0.5)",1000,0.1372305207027195,24.019529342651367
50,0.01,0.05,"(-0.5, 0.5)",2000,0.14309965715867284,27.161283016204834
50,0.01,0.05,"(-0.5, 0.5)",3000,0.14584741198036857,28.533806324005127
50,0.01,0.05,"(-1, 1)",1000,0.13970300488171108,19.392245292663574
50,0.01,0.05,"(-1, 1)",2000,0.1419534195709655,4.999998569488525
50,0.01,0.05,"(-1, 1)",3000,0.13570066166186903,6.031246900558472
100,0.001,0.01,"(0, 0.1)",1000,0.07796687740970569,164.3192229270935
100,0.001,0.01,"(0, 0.1)",2000,0.0779658570513215,329.3744595050812
100,0.001,0.01,"(0, 0.1)",3000,0.07796666652416002,497.1107130050659
100,0.001,0.01,"(-0.5, 0.5)",1000,0.09145704874818697,170.38264417648315
100,0.001,0.01,"(-0.5, 0.5)",2000,0.13261056000533175,341.26841497421265
100,0.001,0.01,"(-0.5, 0.5)",3000,0.1480289270849309,515.5039484500885
100,0.001,0.01,"(-1, 1)",1000,0.15812682791943708,176.23247289657593
100,0.001,0.01,"(-1, 1)",2000,0.1572332664888769,145.94495058059692
100,0.001,0.01,"(-1, 1)",3000,0.1575833917463658,528.7395153045654
100,0.001,0.02,"(0, 0.1)",1000,0.07796775118542232,167.50018000602722
100,0.001,0.02,"(0, 0.1)",2000,0.07796549088233398,337.10460662841797
100,0.001,0.02,"(0, 0.1)",3000,0.07796639136054714,500.2685492038727
100,0.001,0.02,"(-0.5, 0.5)",1000,0.09364747042765915,173.43479776382446
100,0.001,0.02,"(-0.5, 0.5)",2000,0.12343524751234557,344.76190066337585
100,0.001,0.02,"(-0.5, 0.5)",3000,0.15063864288072015,490.82631826400757
100,0.001,0.02,"(-1, 1)",1000,0.1492004332771672,96.62452101707458
100,0.001,0.02,"(-1, 1)",2000,0.15275261557529438,132.29541158676147
100,0.001,0.02,"(-1, 1)",3000,0.14970905531332787,72.95584917068481
100,0.001,0.05,"(0, 0.1)",1000,0.07796647412560631,165.29482245445251
100,0.001,0.05,"(0, 0.1)",2000,0.07796760094478916,328.0069124698639
100,0.001,0.05,"(0, 0.1)",3000,0.077967705945893,489.6344735622406
100,0.001,0.05,"(-0.5, 0.5)",1000,0.08607153288317426,169.51612448692322
100,0.001,0.05,"(-0.5, 0.5)",2000,0.13087453731306195,340.32002091407776
100,0.001,0.05,"(-0.5, 0.5)",3000,0.1394840400330581,437.79879999160767
100,0.001,0.05,"(-1, 1)",1000,0.13666854255414856,46.74478244781494
100,0.001,0.05,"(-1, 1)",2000,0.1398102191388356,15.079568862915039
100,0.001,0.05,"(-1, 1)",3000,0.15375579135460207,87.64400100708008
100,0.005,0.01,"(0, 0.1)",1000,0.07807054873773121,165.154194355011
100,0.005,0.01,"(0, 0.1)",2000,0.07804531973183765,330.9237198829651
100,0.005,0.01,"(0, 0.1)",3000,0.07803349327602806,497.41689825057983
100,0.005,0.01,"(-0.5, 0.5)",1000,0.15663562427830935,177.97161841392517
100,0.005,0.01,"(-0.5, 0.5)",2000,0.1577796699339801,207.81943011283875
100,0.005,0.01,"(-0.5, 0.5)",3000,0.15732970721471698,192.20339822769165
100,0.005,0.01,"(-1, 1)",1000,0.15860077927115832,170.86983346939087
100,0.005,0.01,"(-1, 1)",2000,0.15779269901790413,337.9230329990387
100,0.005,0.01,"(-1, 1)",3000,0.1575300676175474,439.63640832901
100,0.005,0.02,"(0, 0.1)",1000,0.07805745683945539,159.45415425300598
100,0.005,0.02,"(0, 0.1)",2000,0.07804454144670271,316.86603832244873
100,0.005,0.02,"(0, 0.1)",3000,0.07804860239803213,472.3640925884247
100,0.005,0.02,"(-0.5, 0.5)",1000,0.15705216048112555,151.1530590057373
100,0.005,0.02,"(-0.5, 0.5)",2000,0.14889136953387497,103.54106616973877
100,0.005,0.02,"(-0.5, 0.5)",3000,0.14983609467718226,114.18474984169006
100,0.005,0.02,"(-1, 1)",1000,0.15407817032407942,30.461763858795166
100,0.005,0.02,"(-1, 1)",2000,0.14786719810932117,25.613460302352905
100,0.005,0.02,"(-1, 1)",3000,0.15507439908531073,64.26625061035156
100,0.005,0.05,"(0, 0.1)",1000,0.07806834192386916,158.3816270828247
100,0.005,0.05,"(0, 0.1)",2000,0.0780400468378654,315.4417905807495
100,0.005,0.05,"(0, 0.1)",3000,0.07804202682939822,470.1888909339905
100,0.005,0.05,"(-0.5, 0.5)",1000,0.1389475024068484,74.94879579544067
100,0.005,0.05,"(-0.5, 0.5)",2000,0.14093097130428897,86.5698184967041
100,0.005,0.05,"(-0.5, 0.5)",3000,0.13936522007023514,72.45088505744934
100,0.005,0.05,"(-1, 1)",1000,0.14285448009058224,10.359376668930054
100,0.005,0.05,"(-1, 1)",2000,0.13877816205319085,11.743572235107422
100,0.005,0.05,"(-1, 1)",3000,0.14082976089391647,12.877040147781372
100,0.01,0.01,"(0, 0.1)",1000,0.07826391098528193,156.83701825141907
100,0.01,0.01,"(0, 0.1)",2000,0.07833463300505612,313.013041973114
100,0.01,0.01,"(0, 0.1)",3000,0.07819950854717544,479.66212940216064
100,0.01,0.01,"(-0.5, 0.5)",1000,0.15879642600052815,167.30995082855225
100,0.01,0.01,"(-0.5, 0.5)",2000,0.15856655369576778,334.70081901550293
100,0.01,0.01,"(-0.5, 0.5)",3000,0.15899274695446067,119.13542318344116
100,0.01,0.01,"(-1, 1)",1000,0.15764733087531718,171.7609827518463
100,0.01,0.01,"(-1, 1)",2000,0.15842296840513043,123.48280930519104
100,0.01,0.01,"(-1, 1)",3000,0.15338507663785952,9.626935243606567
100,0.01,0.02,"(0, 0.1)",1000,0.07828142250114663,161.96867203712463
100,0.01,0.02,"(0, 0.1)",2000,0.07822626945314191,327.785010099411
100,0.01,0.02,"(0, 0.1)",3000,0.07822431619727876,487.2325608730316
100,0.01,0.02,"(-0.5, 0.5)",1000,0.14736083542886913,56.392234802246094
100,0.01,0.02,"(-0.5, 0.5)",2000,0.16114889482189787,100.47267746925354
100,0.01,0.02,"(-0.5, 0.5)",3000,0.14709793671629615,60.8685941696167
100,0.01,0.02,"(-1, 1)",1000,0.14301235729941036,9.218747854232788
100,0.01,0.02,"(-1, 1)",2000,0.1442267994980691,2.9079062938690186
100,0.01,0.02,"(-1, 1)",3000,0.14483534704647058,14.957483053207397
100,0.01,0.05,"(0, 0.1)",1000,0.07823448040753389,162.82942819595337
100,0.01,0.05,"(0, 0.1)",2000,0.07822206279043108,329.17297863960266
100,0.01,0.05,"(0, 0.1)",3000,0.07816695795874336,495.07331562042236
100,0.01,0.05,"(-0.5, 0.5)",1000,0.13956320078566406,39.5566885471344
100,0.01,0.05,"(-0.5, 0.5)",2000,0.1394410698271481,40.02401304244995
100,0.01,0.05,"(-0.5, 0.5)",3000,0.13818731955077682,40.560235023498535
100,0.01,0.05,"(-1, 1)",1000,0.13509559218522055,11.718753337860107
100,0.01,0.05,"(-1, 1)",2000,0.1351805543215619,6.734372854232788
100,0.01,0.05,"(-1, 1)",3000,0.13222132554177737,6.453129529953003
200,0.001,0.01,"(0, 0.1)",1000,0.0779675999428441,350.6545977592468
200,0.001,0.01,"(0, 0.1)",2000,0.07796935254899523,699.344006061554
200,0.001,0.01,"(0, 0.1)",3000,0.077967517814473,1048.9097168445587
200,0.001,0.01,"(-0.5, 0.5)",1000,0.112434297558153,369.43697905540466
200,0.001,0.01,"(-0.5, 0.5)",2000,0.1413397887647372,742.4620981216431
200,0.001,0.01,"(-0.5, 0.5)",3000,0.15391264469308585,1109.4283788204193
200,0.001,0.01,"(-1, 1)",1000,2.050606358456576,384.9845976829529
200,0.001,0.01,"(-1, 1)",2000,0.15858596318847776,764.537172794342
200,0.001,0.01,"(-1, 1)",3000,0.1516927344452323,160.9021611213684
200,0.001,0.02,"(0, 0.1)",1000,0.07796940786066657,350.32003569602966
200,0.001,0.02,"(0, 0.1)",2000,0.07796868076523068,694.9788415431976
200,0.001,0.02,"(0, 0.1)",3000,0.07797118859581569,1033.241486787796
200,0.001,0.02,"(-0.5, 0.5)",1000,0.11692197749164739,364.31615447998047
200,0.001,0.02,"(-0.5, 0.5)",2000,0.14050614660609112,727.016624212265
200,0.001,0.02,"(-0.5, 0.5)",3000,0.15267929068712988,1093.0770461559296
200,0.001,0.02,"(-1, 1)",1000,0.1603426171876189,317.72733640670776
200,0.001,0.02,"(-1, 1)",2000,0.15098024722232956,116.82028126716614
200,0.001,0.02,"(-1, 1)",3000,0.157348903627809,44217.26824593544
200,0.001,0.05,"(0, 0.1)",1000,0.07796800512068564,338.25211906433105
200,0.001,0.05,"(0, 0.1)",2000,0.07796791129554322,629.2927858829498
200,0.001,0.05,"(0, 0.1)",3000,0.07796832830988767,978.50989985466
200,0.001,0.05,"(-0.5, 0.5)",1000,0.10956999128443048,349.1075794696808
200,0.001,0.05,"(-0.5, 0.5)",2000,0.1408653199575817,693.6696441173553
200,0.001,0.05,"(-0.5, 0.5)",3000,0.14044745221538818,667.2142417430878
200,0.001,0.05,"(-1, 1)",1000,0.14671299231256374,134.03588128089905
200,0.001,0.05,"(-1, 1)",2000,0.13874914191111926,93.21353244781494
200,0.001,0.05,"(-1, 1)",3000,0.14711023977565788,899.8810050487518
200,0.005,0.01,"(0, 0.1)",1000,0.07812835447843704,342.0987079143524
200,0.005,0.01,"(0, 0.1)",2000,0.07813708398048104,684.61034989357
200,0.005,0.01,"(0, 0.1)",3000,0.0780977748622687,1032.140112876892
200,0.005,0.01,"(-0.5, 0.5)",1000,0.15800157708520793,368.809757232666
200,0.005,0.01,"(-0.5, 0.5)",2000,0.1588375124078057,733.2569854259491
200,0.005,0.01,"(-0.5, 0.5)",3000,0.15929151388676677,1107.511623620987
200,0.005,0.01,"(-1, 1)",1000,0.15833311259603436,390.1129071712494
200,0.005,0.01,"(-1, 1)",2000,0.15898937111024675,784.4435565471649
200,0.005,0.01,"(-1, 1)",3000,0.15798752830470222,286.8978066444397
200,0.005,0.02,"(0, 0.1)",1000,0.07810552673778401,349.9350094795227
200,0.005,0.02,"(0, 0.1)",2000,0.07812385391294044,694.0402185916901
200,0.005,0.02,"(0, 0.1)",3000,0.07810113140435869,1046.140166759491
200,0.005,0.02,"(-0.5, 0.5)",1000,0.15560070042857646,298.97904443740845
200,0.005,0.02,"(-0.5, 0.5)",2000,0.16054271127205572,751.5345351696014
200,0.005,0.02,"(-0.5, 0.5)",3000,0.1515170550762374,240.73560500144958
200,0.005,0.02,"(-1, 1)",1000,0.1585023125698719,395.0282862186432
200,0.005,0.02,"(-1, 1)",2000,0.15173764339336424,23.86587691307068
200,0.005,0.02,"(-1, 1)",3000,0.16532568111498047,86.78461217880249
200,0.005,0.05,"(0, 0.1)",1000,0.07815817050970575,357.7848289012909
200,0.005,0.05,"(0, 0.1)",2000,0.07811457574276486,707.1511974334717
200,0.005,0.05,"(0, 0.1)",3000,0.0781193908785552,1064.4830689430237
200,0.005,0.05,"(-0.5, 0.5)",1000,0.13992090908666888,148.48077607154846
200,0.005,0.05,"(-0.5, 0.5)",2000,0.14264217088775033,160.28341150283813
200,0.005,0.05,"(-0.5, 0.5)",3000,0.13963883094202115,166.84624314308167
200,0.005,0.05,"(-1, 1)",1000,0.13354352764427124,16.329505681991577
200,0.005,0.05,"(-1, 1)",2000,0.13278902799494507,9.533177614212036
200,0.005,0.05,"(-1, 1)",3000,0.13559721249614745,16.442543983459473
200,0.01,0.01,"(0, 0.1)",1000,0.07870608164475458,352.9641819000244
200,0.01,0.01,"(0, 0.1)",2000,0.07839949477136779,706.3793413639069
200,0.01,0.01,"(0, 0.1)",3000,0.07961641533987213,1029.6330015659332
200,0.01,0.01,"(-0.5, 0.5)",1000,0.16184931123711505,365.60959577560425
200,0.01,0.01,"(-0.5, 0.5)",2000,0.15967560352684546,742.3776984214783
200,0.01,0.01,"(-0.5, 0.5)",3000,0.15961498123866116,1134.6805222034454
200,0.01,0.01,"(-1, 1)",1000,0.15390285748530114,398.26395773887634
200,0.01,0.01,"(-1, 1)",2000,0.14682284278214522,17.781245470046997
200,0.01,0.01,"(-1, 1)",3000,0.14253202559073902,89.06885504722595
200,0.01,0.02,"(0, 0.1)",1000,0.07856718170102338,361.86793088912964
200,0.01,0.02,"(0, 0.1)",2000,0.07868351907995075,706.7612407207489
200,0.01,0.02,"(0, 0.1)",3000,0.07832036149080346,1101.3574521541595
200,0.01,0.02,"(-0.5, 0.5)",1000,0.159615093866685,382.7274408340454
200,0.01,0.02,"(-0.5, 0.5)",2000,0.15964052534934767,684.7340512275696
200,0.01,0.02,"(-0.5, 0.5)",3000,0.1592712003217995,1134.0999381542206
200,0.01,0.02,"(-1, 1)",1000,0.14630786883018515,9.687496900558472
200,0.01,0.02,"(-1, 1)",2000,0.1404838647156581,26.33301329612732
200,0.01,0.02,"(-1, 1)",3000,0.1390223562774926,11.034223794937134
200,0.01,0.05,"(0, 0.1)",1000,0.07864616583934105,355.1651747226715
200,0.01,0.05,"(0, 0.1)",2000,0.0784348769689492,706.7634692192078
200,0.01,0.05,"(0, 0.1)",3000,0.0790463075031797,1050.0612325668335
200,0.01,0.05,"(-0.5, 0.5)",1000,0.140636363023592,83.81903791427612
200,0.01,0.05,"(-0.5, 0.5)",2000,0.13783926857888967,89.08637738227844
200,0.01,0.05,"(-0.5, 0.5)",3000,0.140408785692649,108.17126941680908
200,0.01,0.05,"(-1, 1)",1000,0.15372978659307202,50.215986251831055
200,0.01,0.05,"(-1, 1)",2000,0.12942692968270567,13.267531156539917
200,0.01,0.05,"(-1, 1)",3000,0.14550241384087712,7.906249284744263
